,Total,White,Hispanic/Latin,African/American,Asian,State,District
217,708082,452335,62381,117792,42871,27,05
218,696720,623009,18588,20269,19060,27,06
219,668049,593513,29839,7226,6305,27,07
220,662354,608555,11186,6892,5396,27,08
221,764223,511632,22074,214570,,28,01
222,705911,214368,12654,470163,,28,02
223,751004,443586,20232,268814,,28,03
224,767588,528655,31773,181411,12541,28,04
225,735410,300483,26798,360343,22599,29,01
226,763176,664377,20011,31386,33619,29,02
227,783679,711556,18627,26446,,29,03
228,761860,659197,27658,35588,13329,29,04
229,763288,485150,69400,170350,13238,29,05
230,767878,674940,29895,29725,11387,29,06
231,776586,685274,38505,14450,9538,29,07
232,741123,671097,12673,34658,5636,29,08
233,1042520,900884,37090,,8432,30,00
234,639048,527166,55566,19529,15243,31,01
235,661142,481928,73293,63537,22832,31,02
236,606926,510851,73590,,,31,03
237,722331,209617,336871,83272,68460,32,01
238,713779,475583,159255,12389,30478,32,02
239,779908,442421,129829,52566,109439,32,03
240,724040,335975,210671,112766,35996,32,04
241,671625,608221,23792,8607,17300,33,01
242,663170,602855,23479,,15379,33,02
243,731932,457252,99258,124284,37977,34,01
244,725217,474993,119139,88141,29107,34,02
245,739696,553416,59571,80013,29249,34,03
246,732142,572641,74041,49719,27752,34,04
247,742865,506785,104283,40044,81953,34,05
248,750419,355622,164848,75216,144939,34,06
249,732070,516505,94942,36403,69706,34,07
250,778294,202968,405301,80266,73314,34,08
251,760005,295107,285668,76785,95245,34,09
252,758062,142005,159774,390048,53137,34,10
253,733706,535951,82080,23824,79065,34,11
254,760061,353510,137764,129842,132737,34,12
255,702719,276895,347997,19223,18366,35,01
256,691695,253667,379919,13080,,35,02
257,686601,256688,281960,8740,9146,35,03
258,718175,535641,105603,39657,28468,36,01
259,714040,435456,174043,69655,24086,36,02
260,732591,501324,79024,20258,114475,36,03
261,723377,406761,150844,105446,49056,36,04
262,794154,77411,157587,387596,115142,36,05
263,753744,262327,145205,30535,299928,36,06
264,763468,234315,300044,85111,145543,36,07
265,771711,185500,131155,412351,45385,36,08
266,738674,231071,88799,365421,51299,36,09
267,708960,448261,87634,25223,136876,36,10
268,735452,439190,126727,54851,103796,36,11
269,715471,465552,100453,33880,100733,36,12
270,812752,118141,441941,241085,37534,36,13
271,691715,154936,344481,78757,112368,36,14
272,768801,20630,514886,244516,16114,36,15
273,736806,265513,175713,251405,44671,36,16
274,744406,443869,166650,79765,42092,36,17
275,722617,496117,117574,67372,23401,36,18
276,698185,584974,56623,31425,12199,36,19
277,723416,548901,45410,65567,36311,36,20
278,711798,641004,24257,21246,8523,36,21
279,703464,614030,26560,30036,18619,36,22
280,703717,621038,27758,22094,16962,36,23
281,707479,578150,31101,59776,19240,36,24
282,720963,503494,63514,113474,26056,36,25
283,709220,490598,43621,125935,32037,36,26
284,720133,658109,20407,18097,,36,27
285,750278,312382,65885,337080,14892,37,01
286,819899,542898,78269,164858,11273,37,02
287,754350,509952,59800,148353,9927,37,03
288,847032,477167,86426,185919,75059,37,04
289,751232,546475,71285,110330,12338,37,05
290,763491,500877,75945,153787,11622,37,06
